image_id,target_count,prediction_count,matches,false_positive,false_negative,low_iou
8370164786846304030,3,3,3,0,0,0
5437409977511018928,3,3,3,0,0,0
4550134779599368474,1,1,1,0,0,0
7182047678496611774,2,2,2,0,0,0
575065242108641065,3,3,3,0,0,0
8302182861874199409,2,2,2,0,0,0
7577690282139639517,5,7,5,2,0,0
5745520503688589793,1,1,1,0,0,0
4099154644282482064,1,1,1,0,0,0
8083108016937532866,2,2,2,0,0,0
1015879951364495042,3,3,3,0,0,0
8477117500440587698,1,1,1,0,0,0
4289990789408907444,2,2,2,0,0,0
4247599658869842606,1,1,1,0,0,0
4388238751943927457,1,1,1,0,0,0
1684003138211661028,2,2,2,0,0,0
4629080527767619563,2,2,2,0,0,0
