epoch,loss_total,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,valid_mask_map,valid_mask_map_50,valid_mask_map_75,valid_bbox_map,valid_bbox_map_50,valid_bbox_map_75,valid_bbox_mar_100,valid_mask_mar_100
1,0.5139884045895409,0.08766133240971934,0.1568080335855484,0.2584479883970583,0.004707929039475001,0.006363116794091184,0.7508776187896729,1.0,0.8957483768463135,0.8049255013465881,1.0,0.9370995759963989,0.8294117450714111,0.779411792755127
2,0.25617168471217155,0.0366966765072635,0.07052380298538242,0.14246945543324246,0.0013343059129457449,0.005147442005930797,0.7528667449951172,1.0,0.9054905772209167,0.8019344806671143,1.0,0.9305323958396912,0.8235294222831726,0.779411792755127
3,0.22064203944276362,0.030140036443138823,0.059056615456938744,0.1264117169467842,0.0009933768643644297,0.004040293429759057,0.7868750691413879,1.0,0.9548631310462952,0.8291712999343872,1.0,1.0,0.841176450252533,0.8176470398902893
4,0.21063741800539634,0.02788518337697229,0.053578258067479026,0.12456886196399436,0.0008840336638112443,0.0037210806425291057,0.7424551248550415,0.9974762201309204,0.9093840718269348,0.8326001763343811,0.9974762201309204,0.9678217768669128,0.8676470518112183,0.7852941155433655
5,0.19540626369416714,0.025228209814111537,0.047620097640901804,0.11870589545544456,0.0005539163626321277,0.003298145539969589,0.7796820402145386,0.998302698135376,0.998302698135376,0.8069440722465515,0.998302698135376,0.998302698135376,0.841176450252533,0.8088235259056091
6,0.18080380920539885,0.02315603377407088,0.04049773177351145,0.11369481113027124,0.0005191889653467704,0.002936042952248553,0.791684627532959,0.999151349067688,0.999151349067688,0.8850616216659546,0.999151349067688,0.9685997366905212,0.9029411673545837,0.820588231086731
7,0.1627578831770841,0.020079949295476955,0.03049051486339201,0.10910514533958014,0.0005918124531410071,0.0024904618463444743,0.7877666354179382,1.0,1.0,0.8760426044464111,1.0,0.9694234132766724,0.8999999761581421,0.8147059082984924
8,0.15509320105261662,0.019441111362539232,0.027389688650146127,0.10531051467884989,0.0007144267892191932,0.00223745902579086,0.7880293130874634,0.999151349067688,0.9676996469497681,0.879814624786377,0.999151349067688,0.9685997366905212,0.9117646813392639,0.8147059082984924
9,0.1508294965195305,0.018448275548186812,0.024226950741756487,0.10534274994450457,0.0006607248018125948,0.0021507960837505594,0.7913351058959961,0.999151349067688,0.999151349067688,0.8753671646118164,0.999151349067688,0.999151349067688,0.9058823585510254,0.8176470398902893
10,0.15233086674090693,0.018613529501154143,0.026005740215837517,0.10489834176705164,0.0006181858698522881,0.0021950700940899827,0.7866079807281494,0.999151349067688,0.999151349067688,0.8812094926834106,0.999151349067688,0.999151349067688,0.908823549747467,0.8147059082984924
11,0.1473881612148355,0.01704614023294519,0.022862975615734124,0.10487064138493117,0.0005201741507187977,0.0020882302470614806,0.7932321429252625,0.999151349067688,0.999151349067688,0.8806148767471313,0.999151349067688,0.999151349067688,0.9058823585510254,0.8176470398902893
12,0.14707977302810726,0.01764765786527492,0.022896576679640394,0.10391833677011378,0.0005868258053584106,0.00203037588910186,0.7925388216972351,0.999151349067688,0.999151349067688,0.880413293838501,0.999151349067688,0.999151349067688,0.9058823585510254,0.8176470398902893
13,0.14552800707957325,0.017762022777734435,0.02164659436846919,0.10352661405854366,0.0005227540464415249,0.0020700224058065727,0.7952309846878052,0.999151349067688,0.999151349067688,0.8838067650794983,0.999151349067688,0.999151349067688,0.908823549747467,0.820588231086731
14,0.14584446172503865,0.017593505600576893,0.021778241731226444,0.10423422133659616,0.0003222642814013371,0.001916229217492989,0.7894035577774048,0.999151349067688,0.999151349067688,0.883476734161377,0.999151349067688,0.999151349067688,0.908823549747467,0.8176470398902893
15,0.145130788688274,0.017483930007609373,0.021910749033422154,0.10330277747091125,0.0004474514707975258,0.001985880303383216,0.7898752689361572,0.999151349067688,0.949097752571106,0.883484959602356,0.999151349067688,0.999151349067688,0.908823549747467,0.820588231086731
16,0.14508269836797433,0.017295765724745307,0.021809188214212877,0.10343073911088355,0.0005952461251849052,0.0019517591521006955,0.7849950194358826,0.999151349067688,0.949097752571106,0.8838067650794983,0.999151349067688,0.999151349067688,0.908823549747467,0.8147059082984924
17,0.14709126248079188,0.017628674539189565,0.022802257684388143,0.10423163423205123,0.0004902526310990437,0.001938443662819576,0.7851572036743164,0.999151349067688,0.949097752571106,0.8838067650794983,0.999151349067688,0.999151349067688,0.908823549747467,0.8147059082984924
18,0.1440026784206138,0.01723857584875077,0.021427517873235047,0.10296601725413519,0.0004119112285586786,0.001958656416664941,0.7881873846054077,0.999151349067688,0.949097752571106,0.883709728717804,0.999151349067688,0.999151349067688,0.908823549747467,0.8147059082984924
19,0.14593973109389052,0.017693426980472663,0.022189045201658326,0.10326617167276494,0.000715657075502082,0.0020754292972389307,0.7899285554885864,0.999151349067688,0.949097752571106,0.883709728717804,0.999151349067688,0.999151349067688,0.908823549747467,0.8176470398902893
20,0.14501156975679538,0.016765483661883455,0.021283352822887108,0.10432652142994545,0.0006257357143460788,0.0020104753789115313,0.7881873846054077,0.999151349067688,0.949097752571106,0.883709728717804,0.999151349067688,0.999151349067688,0.908823549747467,0.8147059082984924
